document_id,sent_id,paragraph_no,position_in_paragraph,score_bert,score_tfidf,score_bm25,rank_bert,rank_tfidf,rank_bm25,keyword_count,cardinal_count,date_count,event_count,fac_count,gpe_count,language_count,law_count,loc_count,money_count,norp_count,ordinal_count,org_count,percent_count,person_count,product_count,quantity_count,time_count,work_of_art_count
0,0,0,0,0.9493550062179565,45.24173256697886,39.243156648662406,1,1,1,3,1,3,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0
0,1,1,0,0.9446992874145508,26.732706078056893,23.29935546866446,4,12,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,0.9226266145706177,30.47531460411839,26.3981158785388,15,10,8,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
0,3,1,2,0.9298672080039978,36.34571495239947,31.614877463045346,9,6,5,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,4,2,0,0.9482648372650146,14.590385523141626,12.974861133198988,2,19,18,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,5,2,1,0.9210005402565002,14.764074958596243,12.899759330866749,18,18,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6,2,2,0.9250260591506958,24.11163729037095,19.472096974248604,11,13,14,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2,3,0.9455677270889282,31.461627844428566,25.001208129535257,3,8,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,8,2,4,0.9230021238327026,39.42881117456152,30.771771143558944,13,5,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,9,2,5,0.9241230487823486,31.357581586028914,25.624868306255696,12,9,9,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,10,3,0,0.9291331768035889,20.14538347084477,16.101061259842577,10,15,16,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,11,3,1,0.9219809770584106,66.04186005616556,57.13449988482159,17,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0
0,12,3,2,0.9497833847999573,41.28151240583526,33.812872469829706,0,3,4,2,0,2,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0
0,13,3,3,0.9223886132240295,40.46411412663746,38.297609015289176,16,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,14,3,4,0.9343374967575073,34.83420645624602,29.529374533976686,8,7,7,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,15,4,0,0.941451370716095,28.308905614358167,22.30453610222772,5,11,12,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
0,16,4,1,0.9118308424949646,17.70170812275044,16.786564933783588,19,17,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,17,4,2,0.9227167963981628,23.47134350724662,22.26564802409411,14,14,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,18,4,3,0.9412669539451599,42.85447087131521,34.72032615077165,6,2,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
0,19,4,4,0.9363514184951782,18.623350224517065,13.493459594839939,7,16,17,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0.9593222737312317,34.12656222097296,27.34148517564625,0,7,7,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0.9189935922622681,37.97433697363839,36.55076077431092,9,6,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,1,1,0.9090233445167542,20.135323013739924,18.24234845988036,12,12,12,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1,3,1,2,0.9251725673675537,15.780768860587251,12.716322183685492,8,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,3,0.9469277262687683,49.715858959329125,42.31139405981516,4,1,0,3,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0
1,5,1,4,0.9526497721672058,50.40195272678002,41.74589681332026,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1,6,1,5,0.8930091857910156,26.896802019764838,22.762515270860384,14,10,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2,0,0.929854154586792,11.060889944306846,9.026310807758664,6,14,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2,1,0.9317313432693481,39.579382417815914,33.108854266145045,5,4,5,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1,9,2,2,0.9033463001251221,44.80297178439894,41.412272808709915,13,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,10,2,3,0.9167598485946655,24.341098873659725,23.39492716965545,10,11,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,11,2,4,0.9513584971427917,38.457029749989026,32.56891910537353,2,5,6,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1,12,2,5,0.9097087383270264,28.105557938417594,25.64894406016983,11,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2,6,0.9478603601455688,49.51908677203619,40.823011463962146,3,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2,7,0.9286190271377563,30.02922129225602,26.312016691009898,7,8,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0.955284833908081,40.71927678705148,35.81667285920217,1,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2,1,1,0,0.9552884101867676,42.908362069930256,34.57222453052978,0,2,3,3,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,0,0,0
2,2,1,1,0.95462566614151,30.14501598558322,21.69828875273628,2,5,7,3,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
2,3,1,2,0.9430972337722778,22.758405240576096,22.313619895736323,8,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,4,1,3,0.9433980584144592,22.546679907677255,20.026175470001647,7,10,10,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,5,1,4,0.9521293044090271,46.85910856337734,38.32179951325961,3,0,1,3,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0
2,6,1,5,0.950442910194397,46.38286368126115,42.23718556991675,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
